location,Basel,Basel,Basel,Basel,,,,
lat,47.75,47.75,47.75,47.75,,,,
lon,7.5,7.5,7.5,7.5,,,,
asl,363.653,363.653,363.653,363.653,,,,
variable,Precipitation Total,Relative Humidity,Relative Humidity,Relative Humidity,,,,
unit,mm,%,%,%,,,,
level,sfc,2 m,2 m,2 m,,,,
resolution,daily,daily,daily,daily,,,,
aggregation,Summation,Maximum,Minimum,Mean,,,,
timestamp,Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],,,Week,Percipitation (average)
20240405T0000,0,93.01619,41.268936,68.62485,,,,
20240406T0000,0,92.958984,29.207743,65.148506,,,,
20240407T0000,0,84.02392,40.397697,61.53813,,,,
20240408T0000,0.1,86.7084,41.293297,65.60543,,,,
20240409T0000,4.7,87.104195,52.72138,75.38407,,,,
20240410T0000,0,91.52968,50.57316,70.88094,,,,
20240411T0000,0,90.10276,47.338634,69.69135,,,,
20240412T0000,0,95.56174,42.86294,68.69982,,,,
20240413T0000,0,91.00371,38.184998,67.68689,,,,
20240414T0000,0,88.99772,37.936813,65.14547,,,,
20240415T0000,4.3,87.31871,38.94278,68.14365,,,,
20240416T0000,5.7999997,89.704,60.4311,75.599556,,,,
20240417T0000,,,,,,,,
20240418T0000,,,,,,,,
20240419T0000,,,,,,,,
20240420T0000,,,,,,,,
20240421T0000,,,,,,,,
20240422T0000,,,,,,,,
20240423T0000,,,,,,,,
20240424T0000,,,,,,,,
