ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,1,2023-12-31,"[50,60)",SIN DATOS,0,,,
2024,1,2023-12-31,SIN DATOS,SIN DATOS,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 1,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 1,2,,,
2024,2,2024-01-07,"[20,30)",COMUNA 1,3,,,
2024,2,2024-01-07,"[30,40)",COMUNA 1,6,,,
2024,2,2024-01-07,"[40,50)",COMUNA 1,3,,,
2024,2,2024-01-07,"[50,60)",COMUNA 1,2,,,
2024,2,2024-01-07,"[10,20)",COMUNA 10,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 10,0,,,
2024,2,2024-01-07,"[30,40)",COMUNA 10,1,,,
2024,2,2024-01-07,"[40,50)",COMUNA 10,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 10,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 10,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 10,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 11,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 11,0,,,
2024,2,2024-01-07,"[30,40)",COMUNA 11,0,,,
2024,2,2024-01-07,"[40,50)",COMUNA 11,2,,,
2024,2,2024-01-07,"[50,60)",COMUNA 11,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 11,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 12,1,,,
2024,2,2024-01-07,"[10,20)",COMUNA 12,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 12,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 12,0,,,
2024,2,2024-01-07,"[40,50)",COMUNA 12,1,,,
2024,2,2024-01-07,"[60,70)",COMUNA 12,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 12,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 13,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 13,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 13,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 13,3,,,
2024,2,2024-01-07,"[40,50)",COMUNA 13,1,,,
2024,2,2024-01-07,"[50,60)",COMUNA 13,2,,,
2024,2,2024-01-07,"[60,70)",COMUNA 13,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 13,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 14,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 14,2,,,
2024,2,2024-01-07,"[30,40)",COMUNA 14,2,,,
2024,2,2024-01-07,"[40,50)",COMUNA 14,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 14,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 14,0,,,
2024,2,2024-01-07,"[80,90)",COMUNA 14,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 15,1,,,
2024,2,2024-01-07,"[10,20)",COMUNA 15,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 15,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 15,1,,,
2024,2,2024-01-07,"[40,50)",COMUNA 15,1,,,
2024,2,2024-01-07,"[50,60)",COMUNA 15,2,,,
2024,2,2024-01-07,"[60,70)",COMUNA 15,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 15,0,,,
2024,2,2024-01-07,"[80,90)",COMUNA 15,1,,,
2024,2,2024-01-07,"[10,20)",COMUNA 2,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 2,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 2,1,,,
2024,2,2024-01-07,"[40,50)",COMUNA 2,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 2,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 2,1,,,
2024,2,2024-01-07,"[70,80)",COMUNA 2,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 3,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 3,4,,,
2024,2,2024-01-07,"[20,30)",COMUNA 3,0,,,
2024,2,2024-01-07,"[30,40)",COMUNA 3,3,,,
2024,2,2024-01-07,"[40,50)",COMUNA 3,1,,,
2024,2,2024-01-07,"[50,60)",COMUNA 3,1,,,
2024,2,2024-01-07,"[60,70)",COMUNA 3,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 3,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 4,1,,,
